None 29
None 53
None 47
None 53
None 74
None 58
None 75
None 53
None 49
None 55
None 60
None 64
None 58
None 48
None 51
None 51
None 46
None 54
None 60
None 56
0.0 0.0 63
0.0 0.0 64
0.0 0.0 59
0.0 0.0 56
0.0 0.0 73
0.0 0.0 85
0.0 0.0 88
0.0 0.0 74
0.0 0.0 70
0.0 0.0 65
0.0 0.0 64
0.0 0.0 59
0.0 0.0 74
0.0 0.0 69
0.0 0.0 60
0.0 0.0 76
0.0 0.0 79
0.0 0.0 65
0.0 0.0 72
0.0 0.0 74
0.0 0.0 68
0.0 0.0 68
0.0 0.0 91
0.0 0.0 65
0.0 0.0 62
0.0 0.0 68
0.0 0.0 74
0.0 0.0 72
0.0 0.0 113
0.0 0.0 75
0.0 0.0 76
0.0 0.0 78
0.0 0.0 78
0.0 0.0 64
0.0 0.0 58
0.0 0.0 79
0.0 0.0 84
0.0 0.0 62
0.0 0.0 66
0.0 0.0 67
0.0 0.0 60
0.0 0.0 78
0.0 0.0 77
0.0 0.0 82
0.0 0.0 76
0.0 0.0 62
0.0 0.0 68
0.0 0.0 66
0.0 0.0 69
0.0 0.0 71
0.0 0.0 72
0.0 0.0 72
0.0 0.0 74
0.0 0.0 63
0.0 0.0 60
0.0 0.0 74
0.0 0.0 73
0.0 0.0 69
0.0 0.0 59
0.0 0.0 62
0.0 0.0 69
0.0 0.0 66
0.0 0.0 72
0.0 0.0 82
0.0 0.0 68
0.0 0.0 67
0.0 0.0 67
0.0 0.0 67
0.0 0.0 87
0.0 0.0 79
0.0 0.0 68
0.0 0.0 81
0.0 0.0 68
0.0 0.0 58
0.0 0.0 60
0.0 0.0 67
0.0 0.0 61
0.0 0.0 65
0.0 0.0 56
0.0 0.0 63
0.0 0.0 59
0.0 0.0 68
0.0 0.0 61
0.0 0.0 71
0.0 0.0 55
0.0 0.0 68
0.0 0.0 66
0.0 0.0 84
0.0 0.0 180
0.0 0.0 77
0.0 0.0 67
0.0 0.0 78
0.0 0.0 77
0.0 0.0 71
0.0 0.0 67
0.0 0.0 67
0.0 0.0 58
0.0 0.0 63
0.0 0.0 72
0.0 0.0 72
0.0 0.0 62
0.0 0.0 73
0.0 0.0 85
0.0 0.0 201
0.0 0.0 194
0.0 0.0 156
0.0 0.0 68
0.0 0.0 56
0.0 0.0 155
0.0 0.0 67
0.0 0.0 62
0.0 0.0 59
0.0 0.0 73
0.0 0.0 82
0.0 0.0 68
0.0 0.0 82
0.0 0.0 68
0.0 0.0 48
0.0 0.0 83
0.0 0.0 107
0.0 0.0 91
0.0 0.0 69
0.0 0.0 69
0.0 0.0 59
0.0 0.0 69
0.0 0.0 124
0.0 0.0 68
0.0 0.0 61
0.0 0.0 76
0.0 0.0 65
0.0 0.0 77
0.0 0.0 67
0.0 0.0 75
0.0 0.0 77
0.0 0.0 69
0.0 0.0 82
0.0 0.0 61
0.0 0.0 62
0.0 0.0 74
0.0 0.0 64
0.0 0.0 72
0.0 0.0 67
0.0 0.0 69
0.0 0.0 70
0.0 0.0 60
0.0 0.0 62
0.0 0.0 79
0.0 0.0 118
0.0 0.0 80
0.0 0.0 65
0.0 0.0 60
0.0 0.0 64
0.0 0.0 69
0.0 0.0 57
0.0 0.0 74
0.0 0.0 71
0.0 0.0 55
0.0 0.0 68
0.0 0.0 65
0.0 0.0 73
0.0 0.0 68
0.0 0.0 68
0.0 0.0 63
0.0 0.0 63
0.0 0.0 82
0.0 0.0 80
0.0 0.0 64
0.0 0.0 65
0.0 0.0 78
0.0 0.0 62
0.0 0.0 71
0.0 0.0 111
0.0 0.0 84
0.0 0.0 73
0.0 0.0 83
0.0 0.0 60
0.0 0.0 72
0.0 0.0 57
0.0 0.0 71
0.0 0.0 57
0.0 0.0 58
0.0 0.0 62
0.0 0.0 82
0.0 0.0 66
0.0 0.0 72
0.0 0.0 75
0.0 0.0 73
0.0 0.0 63
0.0 0.0 74
0.0 0.0 68
0.0 0.0 85
0.0 0.0 60
0.0 0.0 73
0.0 0.0 54
0.0 0.0 67
0.0 0.0 80
0.0 0.0 69
0.0 0.0 75
0.0 0.0 88
0.0 0.0 76
0.0 0.0 62
0.0 0.0 65
0.0 0.0 55
0.0 0.0 77
0.0 0.0 58
0.0 0.0 80
0.0 0.0 82
0.0 0.0 121
38.503869333 -121.414198333 81
38.503898667 -121.414090833 88
38.503886 -121.414025167 79
38.503892667 -121.4139385 67
