None 500
0.0 0.0 435
0.0 0.0 337
0.0 0.0 322
0.0 0.0 312
0.0 0.0 333
0.0 0.0 247
0.0 0.0 187
0.0 0.0 205
0.0 0.0 182
0.0 0.0 186
0.0 0.0 188
0.0 0.0 190
0.0 0.0 213
0.0 0.0 200
0.0 0.0 198
0.0 0.0 166
0.0 0.0 174
0.0 0.0 168
0.0 0.0 182
0.0 0.0 233
0.0 0.0 180
0.0 0.0 186
0.0 0.0 314
0.0 0.0 332
0.0 0.0 344
0.0 0.0 312
0.0 0.0 305
0.0 0.0 301
0.0 0.0 305
0.0 0.0 308
0.0 0.0 305
0.0 0.0 326
0.0 0.0 324
0.0 0.0 319
0.0 0.0 303
0.0 0.0 265
0.0 0.0 340
0.0 0.0 327
0.0 0.0 316
0.0 0.0 316
0.0 0.0 345
0.0 0.0 320
0.0 0.0 340
0.0 0.0 316
0.0 0.0 319
0.0 0.0 314
0.0 0.0 342
0.0 0.0 305
0.0 0.0 374
0.0 0.0 325
0.0 0.0 323
0.0 0.0 330
0.0 0.0 311
0.0 0.0 329
0.0 0.0 312
0.0 0.0 325
0.0 0.0 348
0.0 0.0 319
0.0 0.0 319
0.0 0.0 316
0.0 0.0 309
0.0 0.0 233
0.0 0.0 187
0.0 0.0 193
0.0 0.0 367
0.0 0.0 268
0.0 0.0 214
0.0 0.0 181
0.0 0.0 188
0.0 0.0 184
0.0 0.0 193
0.0 0.0 196
0.0 0.0 182
0.0 0.0 195
0.0 0.0 318
0.0 0.0 331
0.0 0.0 303
0.0 0.0 314
0.0 0.0 327
0.0 0.0 319
0.0 0.0 312
0.0 0.0 347
0.0 0.0 232
0.0 0.0 178
0.0 0.0 186
0.0 0.0 190
0.0 0.0 183
0.0 0.0 369
0.0 0.0 339
0.0 0.0 325
0.0 0.0 320
0.0 0.0 280
0.0 0.0 199
0.0 0.0 190
0.0 0.0 360
0.0 0.0 314
0.0 0.0 349
0.0 0.0 331
0.0 0.0 209
0.0 0.0 178
0.0 0.0 310
0.0 0.0 323
0.0 0.0 315
0.0 0.0 278
0.0 0.0 223
0.0 0.0 311
0.0 0.0 276
0.0 0.0 193
0.0 0.0 193
0.0 0.0 198
0.0 0.0 287
0.0 0.0 330
0.0 0.0 221
0.0 0.0 194
0.0 0.0 189
0.0 0.0 178
0.0 0.0 203
0.0 0.0 322
0.0 0.0 287
0.0 0.0 205
0.0 0.0 201
0.0 0.0 341
0.0 0.0 218
0.0 0.0 319
0.0 0.0 336
0.0 0.0 308
0.0 0.0 344
0.0 0.0 319
0.0 0.0 326
0.0 0.0 226
0.0 0.0 187
0.0 0.0 185
0.0 0.0 193
0.0 0.0 204
0.0 0.0 203
0.0 0.0 183
0.0 0.0 192
0.0 0.0 306
0.0 0.0 311
0.0 0.0 340
0.0 0.0 310
0.0 0.0 318
0.0 0.0 228
0.0 0.0 312
0.0 0.0 332
0.0 0.0 311
0.0 0.0 335
0.0 0.0 230
0.0 0.0 206
0.0 0.0 204
0.0 0.0 192
0.0 0.0 209
0.0 0.0 201
0.0 0.0 194
0.0 0.0 198
0.0 0.0 191
0.0 0.0 181
0.0 0.0 183
0.0 0.0 183
0.0 0.0 183
0.0 0.0 189
0.0 0.0 182
0.0 0.0 198
0.0 0.0 199
0.0 0.0 169
0.0 0.0 168
0.0 0.0 195
0.0 0.0 186
0.0 0.0 186
0.0 0.0 196
0.0 0.0 189
0.0 0.0 196
0.0 0.0 190
0.0 0.0 204
0.0 0.0 183
0.0 0.0 177
0.0 0.0 177
0.0 0.0 170
0.0 0.0 184
0.0 0.0 165
0.0 0.0 187
0.0 0.0 166
0.0 0.0 167
0.0 0.0 170
0.0 0.0 157
0.0 0.0 187
0.0 0.0 197
0.0 0.0 199
0.0 0.0 184
0.0 0.0 170
0.0 0.0 179
0.0 0.0 152
0.0 0.0 180
0.0 0.0 184
0.0 0.0 163
0.0 0.0 170
0.0 0.0 168
0.0 0.0 176
0.0 0.0 157
0.0 0.0 179
0.0 0.0 170
0.0 0.0 173
0.0 0.0 175
0.0 0.0 161
0.0 0.0 156
0.0 0.0 162
0.0 0.0 227
0.0 0.0 179
0.0 0.0 231
0.0 0.0 252
0.0 0.0 219
0.0 0.0 189
0.0 0.0 167
0.0 0.0 169
0.0 0.0 157
0.0 0.0 182
0.0 0.0 180
0.0 0.0 183
0.0 0.0 172
0.0 0.0 152
0.0 0.0 158
0.0 0.0 158
0.0 0.0 136
0.0 0.0 143
0.0 0.0 132
0.0 0.0 135
0.0 0.0 140
0.0 0.0 135
0.0 0.0 119
0.0 0.0 130
0.0 0.0 136
0.0 0.0 113
0.0 0.0 122
0.0 0.0 126
0.0 0.0 124
0.0 0.0 117
0.0 0.0 122
0.0 0.0 114
0.0 0.0 113
0.0 0.0 118
0.0 0.0 117
0.0 0.0 109
0.0 0.0 100
0.0 0.0 109
0.0 0.0 136
0.0 0.0 126
0.0 0.0 153
0.0 0.0 128
0.0 0.0 113
0.0 0.0 123
0.0 0.0 133
0.0 0.0 114
0.0 0.0 108
0.0 0.0 133
0.0 0.0 114
0.0 0.0 119
0.0 0.0 117
0.0 0.0 122
0.0 0.0 118
0.0 0.0 125
0.0 0.0 94
0.0 0.0 122
0.0 0.0 110
0.0 0.0 104
0.0 0.0 108
0.0 0.0 116
0.0 0.0 107
0.0 0.0 105
0.0 0.0 104
0.0 0.0 109
0.0 0.0 114
0.0 0.0 132
0.0 0.0 107
0.0 0.0 125
0.0 0.0 129
0.0 0.0 118
0.0 0.0 104
0.0 0.0 109
0.0 0.0 112
0.0 0.0 105
0.0 0.0 112
0.0 0.0 116
0.0 0.0 110
0.0 0.0 105
0.0 0.0 91
0.0 0.0 104
0.0 0.0 94
0.0 0.0 102
0.0 0.0 99
0.0 0.0 159
0.0 0.0 118
0.0 0.0 81
0.0 0.0 104
0.0 0.0 100
0.0 0.0 108
0.0 0.0 114
0.0 0.0 96
0.0 0.0 109
0.0 0.0 159
0.0 0.0 187
0.0 0.0 183
0.0 0.0 202
0.0 0.0 230
0.0 0.0 280
0.0 0.0 223
0.0 0.0 206
0.0 0.0 201
0.0 0.0 205
0.0 0.0 205
0.0 0.0 218
0.0 0.0 307
0.0 0.0 394
0.0 0.0 234
0.0 0.0 204
0.0 0.0 203
0.0 0.0 196
0.0 0.0 352
0.0 0.0 253
0.0 0.0 217
0.0 0.0 280
0.0 0.0 342
0.0 0.0 361
0.0 0.0 388
0.0 0.0 337
0.0 0.0 363
0.0 0.0 377
0.0 0.0 309
0.0 0.0 259
0.0 0.0 376
0.0 0.0 352
0.0 0.0 373
0.0 0.0 369
0.0 0.0 356
0.0 0.0 357
0.0 0.0 276
0.0 0.0 332
0.0 0.0 191
0.0 0.0 199
0.0 0.0 201
0.0 0.0 290
0.0 0.0 213
0.0 0.0 214
0.0 0.0 285
0.0 0.0 207
0.0 0.0 194
0.0 0.0 228
0.0 0.0 358
0.0 0.0 344
0.0 0.0 370
0.0 0.0 243
0.0 0.0 391
0.0 0.0 217
0.0 0.0 339
0.0 0.0 380
0.0 0.0 310
0.0 0.0 362
0.0 0.0 354
0.0 0.0 348
0.0 0.0 224
0.0 0.0 229
0.0 0.0 186
0.0 0.0 194
0.0 0.0 206
0.0 0.0 192
0.0 0.0 290
0.0 0.0 254
0.0 0.0 222
0.0 0.0 197
0.0 0.0 163
0.0 0.0 347
0.0 0.0 326
0.0 0.0 245
0.0 0.0 185
0.0 0.0 197
0.0 0.0 200
0.0 0.0 189
0.0 0.0 189
0.0 0.0 191
0.0 0.0 194
0.0 0.0 244
0.0 0.0 274
0.0 0.0 195
0.0 0.0 338
0.0 0.0 323
0.0 0.0 330
0.0 0.0 337
0.0 0.0 361
0.0 0.0 362
0.0 0.0 366
0.0 0.0 322
0.0 0.0 211
0.0 0.0 168
0.0 0.0 180
0.0 0.0 186
0.0 0.0 355
0.0 0.0 330
0.0 0.0 329
0.0 0.0 302
0.0 0.0 264
0.0 0.0 190
0.0 0.0 323
0.0 0.0 318
0.0 0.0 326
0.0 0.0 343
0.0 0.0 303
0.0 0.0 296
0.0 0.0 312
0.0 0.0 297
0.0 0.0 200
0.0 0.0 278
0.0 0.0 349
0.0 0.0 326
0.0 0.0 262
0.0 0.0 339
0.0 0.0 286
0.0 0.0 336
0.0 0.0 339
0.0 0.0 334
0.0 0.0 207
0.0 0.0 201
0.0 0.0 210
0.0 0.0 218
0.0 0.0 181
0.0 0.0 200
0.0 0.0 191
0.0 0.0 184
0.0 0.0 329
0.0 0.0 186
0.0 0.0 188
0.0 0.0 194
0.0 0.0 219
0.0 0.0 256
0.0 0.0 327
0.0 0.0 281
0.0 0.0 215
0.0 0.0 192
0.0 0.0 210
0.0 0.0 258
0.0 0.0 341
0.0 0.0 327
0.0 0.0 225
0.0 0.0 307
0.0 0.0 237
0.0 0.0 183
0.0 0.0 186
0.0 0.0 275
0.0 0.0 320
0.0 0.0 313
0.0 0.0 315
0.0 0.0 322
0.0 0.0 216
0.0 0.0 196
0.0 0.0 188
0.0 0.0 230
0.0 0.0 295
0.0 0.0 220
0.0 0.0 183
0.0 0.0 190
0.0 0.0 198
0.0 0.0 188
0.0 0.0 263
0.0 0.0 261
0.0 0.0 221
0.0 0.0 321
0.0 0.0 218
0.0 0.0 205
38.6213335 -121.238240844 174
38.621259138 -121.238556363 157
38.621169378 -121.238885078 187
38.621043322 -121.239210829 308
38.620949367 -121.23952272 306
38.620852501 -121.239846048 319
38.62074217 -121.240161629 209
38.620597712 -121.240487021 196
38.620480031 -121.240800059 291
38.620345854 -121.241112391 313
38.620231408 -121.241425418 194
38.620108374 -121.241739526 183
38.619978884 -121.242058335 291
38.619864209 -121.242381495 257
38.619749761 -121.242701002 207
38.619624492 -121.243010955 291
38.619494359 -121.24331711 327
38.619383338 -121.24361227 331
38.619253136 -121.243946229 329
38.619120604 -121.244262249 318
38.619001216 -121.244565274 177
38.618880313 -121.244878284 192
38.618788279 -121.245200325 180
38.618696819 -121.245490655 299
38.618570987 -121.245779161 318
38.618468999 -121.24608286 329
38.618365537 -121.246395262 310
38.618252534 -121.246705567 266
38.618160154 -121.24702258 344
38.618045641 -121.24732474 239
38.617935642 -121.247639375 198
38.617829009 -121.247960881 329
38.617720035 -121.248268739 350
38.617611938 -121.248580506 350
38.617503595 -121.2488916 330
38.617371479 -121.24918585 295
38.617229617 -121.24948397 180
38.617117957 -121.249792123 189
38.616996124 -121.250091719 333
38.616890037 -121.250403164 335
38.616775233 -121.250712303 352
38.616648254 -121.25101945 342
38.616547869 -121.251334173 319
38.61643844 -121.251647376 187
38.616326836 -121.251959213 267
38.616216042 -121.252268145 326
38.616122248 -121.252584113 310
38.616004618 -121.252882521 336
38.615890164 -121.253183903 321
38.615769885 -121.253475803 325
38.615653371 -121.253788774 202
38.615523798 -121.254098658 203
38.615411491 -121.254419428 199
38.615305917 -121.254729759 186
38.61519495 -121.255048178 321
38.615086481 -121.255356507 314
38.614973983 -121.255668304 353
38.614855962 -121.255991553 339
38.614738231 -121.256300755 369
38.614624848 -121.256610952 341
38.614502739 -121.256915501 185
38.61438275 -121.257248216 357
